REGION_COUNTRY;1970_URBAN;1975_URBAN;1980_URBAN;1985_URBAN;1990_URBAN;1994_URBAN;2000_URBAN;2002_URBAN;2004_URBAN;2005_URBAN;2008_URBAN;1970_RURAL;1975_RURAL;1980_RURAL;1985_RURAL;1990_RURAL;1994_RURAL;2000_RURAL;2002_RURAL;2004_RURAL;2005_RURAL;2008_RURAL;1970_TOTAL;1975_TOTAL;1980_TOTAL;1985_TOTAL;1990_TOTAL;1994_TOTAL;2000_TOTAL;2002_TOTAL;2004_TOTAL;2005_TOTAL;2008_TOTAL
Tonga;100;100;97;99;88;100;NA;98;98;98;98;100;100;94;40;78;100;NA;96;88;96;96;100;100;19;52;81.5;100;NA;96.66;96;96;97
Tuvalu;NA;NA;100;81;NA;90;100;92;93;87;88;NA;NA;80;73;NA;85;100;83;NA;80;81;NA;NA;NA;NA;NA;87;100;87.86;90;82;81
Vanuatu;NA;NA;95;86;NA;NA;100;78;78;63;66;NA;NA;68;25;NA;NA;100;42;NA;43;48;NA;NA;NA;40;NA;NA;100;49.92;50;48;53
Wallis and Futuna Islands;NA;NA;NA;NA;NA;NA;NA;NA;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;96;96;NA;NA;NA;NA;NA;NA;NA;NA;80;NA;NA
Western Samoa;NA;NA;86;88;NA;NA;NA;NA;NA;NA;NA;NA;NA;83;83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;84;NA;NA;NA;NA;NA;NA;NA
EUROPE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Albania;NA;NA;NA;NA;NA;NA;NA;99;99;NA;NA;NA;NA;NA;NA;NA;NA;NA;81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;88.74;91;NA;NA
Belarus;NA;NA;NA;NA;NA;NA;NA;NA;93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;84;NA;NA
Bosnia and Herzegovina;NA;NA;NA;NA;NA;NA;NA;NA;99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;95;NA;NA
Bulgaria;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;99;NA;NA
Czech Republic;NA;NA;NA;NA;NA;NA;NA;NA;99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;98;NA;NA
