REGION_COUNTRY;1970_URBAN;1975_URBAN;1980_URBAN;1985_URBAN;1990_URBAN;1994_URBAN;2000_URBAN;2002_URBAN;2004_URBAN;2005_URBAN;2008_URBAN;1970_RURAL;1975_RURAL;1980_RURAL;1985_RURAL;1990_RURAL;1994_RURAL;2000_RURAL;2002_RURAL;2004_RURAL;2005_RURAL;2008_RURAL;1970_TOTAL;1975_TOTAL;1980_TOTAL;1985_TOTAL;1990_TOTAL;1994_TOTAL;2000_TOTAL;2002_TOTAL;2004_TOTAL;2005_TOTAL;2008_TOTAL
Pakistan;77;75;72;83;82;77;96;95;96;95;95;4;5;20;27;42;52;84;87;89;86;87;21;25;35;44;54.8;86;88;89.648;91;89;90
Philippines;67;82;49;49;93;93;92;90;87;93;93;20;31;43;54;72;77;80;77;82;85;87;36;50;45;52;81.03;85;87;84.605;85;90;91
Qatar;100;100;76;NA;100;NA;NA;100;100;100;100;75;83;43;NA;NA;NA;NA;100;100;100;99;95;97;71;NA;NA;100;NA;100;100;100;100
Saudi Arabia;100;97;92;100;NA;NA;100;97;97;97;97;37;56;87;88;NA;NA;64;NA;NA;NA;NA;49;64;90;94;NA;NA;95;NA;NA;NA;NA
Singapore;NA;NA;100;100;100;NA;100;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;100;100;100;NA;NA
Sri Lanka;46;36;65;82;80;43;91;99;98;97;98;14;13;18;29;55;47;80;72;74;84;88;21;19;28;40;60.25;84;83;77.697;79;86;90
Syria;98;NA;98;NA;NA;92;94;94;98;95;94;50;NA;54;NA;NA;78;64;64;87;82;84;71;NA;74;NA;NA;82;80;79.03;93;89;89
Tajikistan;NA;NA;NA;NA;NA;NA;NA;93;92;93;94;NA;NA;NA;NA;NA;NA;NA;47;48;57;61;NA;NA;NA;NA;NA;57;NA;58;59;67;70
Thailand;60;69;65;56;NA;NA;89;95;98;99;99;10;16;63;66;85;NA;77;80;100;97;98;17;25;63;64;NA;97;80;84.665;99;98;98
Turkey;NA;NA;95;NA;NA;NA;82;96;98;99;100;NA;NA;62;NA;NA;NA;84;87;93;92;96;NA;NA;76;NA;NA;92;83;92.823;96;97;99
